URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.ch/ig/ch-core/ValueSet/ch-core-maritalstatus,4.0.0,active,,ChCoreMaritalStatus,ChCoreMaritalStatus,"MaritalStatus combined by fhir and eCH-11. See [maritalData - Zivilstandsangaben eCH-11](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html) and/or [BFS Amtlicher Katalog der Merkmale](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html).","StructureDefinition/ch-elm-patient","ch.fhir.ig.ch-core"
http://fhir.ch/ig/ch-core/ValueSet/ech-10-linetype,4.0.0,active,,ECH10AddressLine,eCH-010 Address Line Type,"eCH-010 defines different address lines (addressLine1,2 and street)","StructureDefinition/ch-elm-organization-orderer,StructureDefinition/ch-elm-patient","ch.fhir.ig.ch-core"
http://fhir.ch/ig/ch-core/ValueSet/ech-7-cantonflabbreviation,4.0.0,active,,ECH007CantonFLAbbreviation,eCH-0007 Canton Abbreviation incl. FL (Fürstentum Liechtenstein),"eCH-0007: Analogous to cantonAbbreviation, but contains the entry 'FL' for the Principality of Liechtenstein in addition to the actual cantons. ","StructureDefinition/ch-elm-organization-orderer,StructureDefinition/ch-elm-patient","ch.fhir.ig.ch-core"
http://fhir.ch/ig/ch-elm/ValueSet/ch-elm-expecting-organism-specification,1.0.0,active,,ChElmExpectingOrganismSpecification,CH ELM Expecting Organism Specification,"This CH ELM value set includes the leading codes for the laboratory test results, which have to be completed by another code for the expecting organism.","ConceptMap/ch-elm-expecting-organism-specification-to-results-completion-vs","LOINC"
http://fhir.ch/ig/ch-elm/ValueSet/ch-elm-expecting-specimen-specification,1.0.0,active,,ChElmExpectingSpecimenSpecification,CH ELM Expecting Specimen Specification,"This CH ELM value set includes the leading codes for the laboratory test results, which have to be completed by another code for the expecting specimen.","ConceptMap/ch-elm-expecting-specimen-specification-to-results-completion-vs","LOINC"
http://fhir.ch/ig/ch-elm/ValueSet/ch-elm-foph-patient-name-representation,1.0.0,active,,ChElmFophPatientNameRepresentation,CH ELM FOPH Patient Name Representation,"This CH ELM value set includes the codes which identify possible patient name schemas to be used.","ConceptMap/ch-elm-results-to-foph-patient-name-representation","Internal"
http://fhir.ch/ig/ch-elm/ValueSet/ch-elm-lab-study-types,1.0.0,active,,ChElmLabStudyTypes,CH ELM Lab Study Types,"This CH ELM value set includes the codes for the laboratory specialties.","StructureDefinition/ch-elm-composition","LOINC"
http://fhir.ch/ig/ch-elm/ValueSet/ch-elm-observation-interpretation-codes,1.0.0,active,,ChElmObservationInterpretationCodes,CH ELM Observation Interpretation Codes,"This CH ELM value set includes the codes for the qualitative interpretation of the observation values (susceptible/resistant).","StructureDefinition/ch-elm-observation-results-laboratory-strict,StructureDefinition/ch-elm-observation-results-laboratory","THO (V3)"
http://fhir.ch/ig/ch-elm/ValueSet/ch-elm-results-coded-values-laboratory,1.0.0,active,,ChElmResultsCodedValuesLaboratory,CH ELM Results Coded Values Laboratory,"This CH ELM value set includes the codes for the laboratory test results (presence/absence).","StructureDefinition/ch-elm-observation-results-laboratory-strict,StructureDefinition/ch-elm-observation-results-laboratory","SCT"
http://fhir.ch/ig/ch-elm/ValueSet/ch-elm-results-completion-vs,1.0.0,active,,ChElmResultsCompletionVs,CH ELM Results Completion Vs,"This CH ELM value set includes the value set URLs as codes to map in the concept maps the leading codes, which must be completed with additional codes.","ConceptMap/ch-elm-expecting-organism-specification-to-results-completion-vs,ConceptMap/ch-elm-expecting-specimen-specification-to-results-completion-vs","Internal"
http://fhir.ch/ig/ch-elm/ValueSet/ch-elm-results-cpe-org,1.0.0,active,,ChElmResultsCpeOrg,CH ELM Results Cpe Org,"This CH ELM value set includes the codes for the laboratory test results to complete the leading code with an additional code.",,"SCT"
http://fhir.ch/ig/ch-elm/ValueSet/ch-elm-results-geni-spec,1.0.0,active,,ChElmResultsGeniSpec,CH ELM Results Geni Spec,"This CH ELM value set includes the codes for the laboratory test results to complete the leading code with an additional code.",,"SCT"
http://fhir.ch/ig/ch-elm/ValueSet/ch-elm-results-laboratory-observation,1.0.0,active,,ChElmResultsLaboratoryObservation,CH ELM Results Laboratory Observation,"This CH ELM value set includes the codes for the laboratory test results (organism).","StructureDefinition/ch-elm-observation-results-laboratory-strict,ConceptMap/ch-elm-results-to-foph-patient-name-representation,StructureDefinition/ch-elm-observation-results-laboratory,StructureDefinition/ch-elm-servicerequest-laboratory-order","SCT,LOINC"
http://fhir.ch/ig/ch-elm/ValueSet/ch-elm-status,1.0.0,active,,ChElmStatus,CH ELM Status,"This CH ELM value set includes the codes for the laboratory specialities.","StructureDefinition/ch-ext-elm-status","hl7.fhir.r4.core"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.healthcareFacilityTypeCode,2.0.9,active,"2.16.756.5.30.1.127.3.10.1.11",DocumentEntryHealthcareFacilityTypeCode,DocumentEntry.healthcareFacilityTypeCode,"Type of healthcare facility as per Annex 3; EPRO-FDHA.       This code describes the type of healthcare facility in which the document was compiled during the treatment process. In conjunction with the authorisation control, the patient can use this information to assign all documents from a specific type of healthcare facility to a specific confidentiality level in their rights and attributes, for example.","StructureDefinition/ch-elm-organization-lab,StructureDefinition/ch-elm-organization-orderer,StructureDefinition/ch-elm-organization-author","SCT"
http://fhir.ch/ig/ch-epr-term/ValueSet/HCProfessional.hcProfession,2.0.9,active,"2.16.756.5.30.1.127.3.10.8.1",HCProfessionalHcProfession,HCProfessional.hcProfession,"HCProfessional.hcProfession","StructureDefinition/ch-elm-practitionerrole-orderer","ch.fhir.ig.ch-epr-term,SCT"
http://fhir.ch/ig/ch-epr-term/ValueSet/HCProfessional.hcSpecialisation,2.0.9,active,"2.16.756.5.30.1.127.3.10.8.2",HCProfessionalHcSpecialisation,HCProfessional.hcSpecialisation,"HCProfessional.hcSpecialisation","StructureDefinition/ch-elm-practitionerrole-orderer","ch.fhir.ig.ch-epr-term"
http://fhir.ch/ig/ch-lab-report/ValueSet/ch-lab-report-lab-study-types,0.1.0,active,,ChLabReportStudyTypes,Lab Study Types in Switzerland,"This value set includes the codes for the lab specialties.","StructureDefinition/ch-elm-composition","LOINC"
