Source File	Size	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/ch.fhir.ig.ch-epr-term.xml	9754	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	85	90	0	0	0	2	0	1
/input/resources/codesystem/2.16.756.5.30.1.127.3.5.xml	43667	0	0	0	0	0	0	1	50	0	0	0	0	0	0	0	0	0	0	82	719	0	0	0	2	0	0
/input/resources/codesystem/2.16.756.5.30.1.127.3.6.xml	17223	1	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	51	23	0	0	0	1	0	0
/input/resources/codesystem/2.16.756.5.30.1.127.3.10.5.xml	4050	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	29	18	0	0	0	0	0	0
/input/resources/codesystem/2.16.756.5.30.1.127.3.10.6.xml	6046	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	38	17	0	0	0	0	0	0
/input/resources/codesystem/2.16.756.5.30.1.127.3.10.7.xml	12080	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	1	0	0	44	22	0	0	0	1	0	0
/input/resources/codesystem/2.16.756.5.30.1.127.3.10.9.xml	13185	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	44	20	0	0	0	0	0	0
/input/resources/codesystem/2.16.756.5.30.1.127.3.10.10.xml	4956	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	31	17	0	0	0	1	0	0
/input/resources/codesystem/2.16.756.5.30.1.127.3.10.12.xml	1798	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	25	17	0	0	0	0	0	0
/input/resources/codesystem/2.16.756.5.30.1.127.3.10.14.xml	1173	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	25	16	0	0	0	0	0	0
/input/resources/codesystem/2.16.756.5.30.1.127.3.10.18.xml	1561	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	24	16	0	0	0	0	0	0
/input/resources/conceptmap/DocumentEntryClassCodeToDocumentEntryTypeCode.xml	13654	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	70	23	0	0	0	2	0	1
/input/resources/conceptmap/HCProfessionalHCProfessionSpecialisationMap.xml	12372	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	71	22	0	0	0	1	0	0
/input/resources/valueset/DocumentEntry.authorRole.xml	5843	0	0	0	0	0	0	1	34	0	0	0	0	0	0	0	0	0	0	37	1498	0	0	0	1	0	0
/input/resources/valueset/DocumentEntry.authorSpeciality.xml	72312	0	0	0	0	0	0	34	61	0	0	0	0	0	0	0	0	0	0	110	1014	0	0	0	3	0	0
/input/resources/valueset/DocumentEntry.classCode.xml	18564	0	0	0	0	0	0	1	439	0	0	0	0	0	0	0	0	0	0	49	815	0	0	0	1	0	0
/input/resources/valueset/DocumentEntry.confidentialityCode.xml	4847	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	28	430	0	0	0	0	0	0
/input/resources/valueset/DocumentEntry.eventCodeList.xml	35432	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	71	434	0	0	0	1	0	0
/input/resources/valueset/DocumentEntry.formatCode.xml	19036	0	0	0	0	0	0	0	907	0	0	0	0	0	0	0	1	0	0	60	1689	0	0	0	1	0	0
/input/resources/valueset/DocumentEntry.healthcareFacilityTypeCode.xml	17446	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	49	327	0	0	0	1	0	0
/input/resources/valueset/DocumentEntry.languageCode.xml	49161	1	0	0	0	0	0	1	327	0	0	0	0	0	0	0	0	0	0	78	943	0	0	0	1	0	1
/input/resources/valueset/DocumentEntry.mimeType.xml	22932	0	0	0	0	0	0	1	286	0	0	0	0	0	0	0	0	0	0	52	597	0	0	0	1	0	0
/input/resources/valueset/DocumentEntry.practiceSettingCode.xml	58996	0	0	0	0	0	0	1	462	0	0	0	0	0	0	0	0	0	0	91	1042	0	0	0	2	0	0
/input/resources/valueset/DocumentEntry.sourcePatientInfo.PID-8.xml	4797	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	30	69	0	0	0	1	0	0
/input/resources/valueset/DocumentEntry.typeCode.xml	25488	0	0	0	0	0	0	1	410	0	0	0	0	0	0	0	0	0	0	56	752	0	0	0	1	0	0
/input/resources/valueset/DocumentEntry.originalProviderRole.xml	6673	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	33	96	0	0	0	0	0	0
/input/resources/valueset/DocumentEntry.Ext.EprDeletionStatus.xml	2199	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	22	53	0	0	0	0	0	0
/input/resources/valueset/EprAgentRole.xml	1690	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	22	35	0	0	0	0	0	0
/input/resources/valueset/EprAuditTrailConsumptionEventType.xml	14470	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	51	182	0	0	0	1	0	0
/input/resources/valueset/EprPurposeOfUse.xml	5126	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	37	62	0	0	0	0	0	0
/input/resources/valueset/EprRole.xml	7538	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	31	99	0	0	0	1	0	0
/input/resources/valueset/HCProfessional.hcProfession.xml	25671	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	1	0	0	60	469	0	0	0	1	0	0
/input/resources/valueset/HCProfessional.hcSpecialisation.xml	52740	0	0	0	0	0	0	1	38	0	0	0	0	0	0	0	0	0	0	78	670	0	0	0	2	0	0
/input/resources/valueset/SubmissionSet.Author.AuthorRole.xml	6657	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	30	84	0	0	0	0	0	0
/input/resources/valueset/SubmissionSet.contentTypeCode.xml	2957	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	30	172	0	0	0	0	0	0
