URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.Ext.EprDeletionStatus,2.0.10,active,"2.16.756.5.30.1.127.3.10.15.3",DocumentEntryExtEprDeletionStauts,DocumentEntry.Ext.EprDeletionStatus,"Deletion codes as per supplement 1 to Annex 5 EPRO-FDHA.",,"Internal"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.authorRole,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.1.3",DocumentEntryAuthorRole,DocumentEntry.authorRole,"Role of the author.       This code defines the role of the author of the document. This is a sub-attribute of epd_xds_author.",,"Internal"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.authorSpeciality,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.1.4",DocumentEntryAuthorSpeciality,DocumentEntry.authorSpeciality,"Speciality of the author as per Annex 3.",,"Internal"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.classCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.3",DocumentEntryClassCode,DocumentEntry.classCode,"Document class as per EPRO-FDHA Annex 3",,"SCT"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.confidentialityCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.5",DocumentEntryConfidentialityCode,DocumentEntry.confidentialityCode,"Document confidentiality as per Annex; EPRO-FDHA.",,"SCT"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.eventCodeList,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.8",DocumentEntryEventCodeList,DocumentEntry.eventCodeList,"DocumentEntry.eventCodeList",,"DICOM"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.formatCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.9",DocumentEntryFormatCode,DocumentEntry.formatCode,"Document format as per Annex; EPRO-FDHA.         This unambiguous code defines the format of the XDS document. Together with the mimetype, this should provide the potential consumer with sufficient information as to whether they are in a position to process the document.      ",,"ihe.formatcode.fhir,Internal,Other"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.healthcareFacilityTypeCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.11",DocumentEntryHealthcareFacilityTypeCode,DocumentEntry.healthcareFacilityTypeCode,"Type of healthcare facility as per Annex 3; EPRO-FDHA.       This code describes the type of healthcare facility in which the document was compiled during the treatment process. In conjunction with the authorisation control, the patient can use this information to assign all documents from a specific type of healthcare facility to a specific confidentiality level in their rights and attributes, for example.",,"SCT"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.languageCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.13",DocumentEntryLanguageCode,DocumentEntry.languageCode,"Document language as per Annex 3 EPRO-FDHA. Defines the language in which the document was written.",,"hl7.terminology,Internal"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.mimeType,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.16",DocumentEntryMimeType,DocumentEntry.mimeType,"MIME type of the document as per Annex; EPRO-FDHA.",,"Other"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.originalProviderRole,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.42",DocumentEntryOriginalProviderRole,DocumentEntry.originalProviderRole,"DocumentEntry.originalProviderRole",,"Internal"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.practiceSettingCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.18",DocumentEntryPracticeSettingCode,DocumentEntry.practiceSettingCode,"Medical specialisation of the data captured in the document as per Annex 3; EPRO-FDHA.       This attribute assigns the contents of a document to a medical specialisation. It is conceivable that this information will assist the patient with setting or changing the confidentiality level of documents, which is relevant for controlling access.",,"SCT"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.sourcePatientInfo.PID-8,2.0.10,active,"2.16.840.1.113883.4.642.3.1",DocumentEntrySourcePatientInfoPID8,DocumentEntry.sourcePatientInfo.PID-8,"Patient’s gender as per Annex 3; EPRO-FDHA.",,"hl7.fhir.r4.core"
http://fhir.ch/ig/ch-epr-term/ValueSet/DocumentEntry.typeCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.27",DocumentEntryTypeCode,DocumentEntry.typeCode,"Type of document as per Annex 3 EPRO-FDHA.     The code defines a document’s type (e.g. discharge report, laboratory report). Each document type should be assigned to precisely one document class.",,"SCT"
http://fhir.ch/ig/ch-epr-term/ValueSet/EprAgentRole,2.0.10,active,"2.16.756.5.30.1.127.3.10.13.1",EprAgentRole,EprAgentRole,"Role codes as per Annex 5 EPRO-FDHA, CH:ATC, version July 2019",,"Internal"
http://fhir.ch/ig/ch-epr-term/ValueSet/EprAuditTrailConsumptionEventType,2.0.10,active,"2.16.756.5.30.1.127.3.10.13.2",EprAuditTrailConsumptionEventType,EprAuditTrailConsumptionEventType,"Audit Trail Consumption Event Types for CH:ATC",,"Internal"
http://fhir.ch/ig/ch-epr-term/ValueSet/EprPurposeOfUse,2.0.10,active,"2.16.756.5.30.1.127.3.10.15.2",EprPurposeOfUse,EprPurposeOfUse,"Purpose Of Use as per Annex 5 EPRO-FDHA, Extension 1.",,"Internal"
http://fhir.ch/ig/ch-epr-term/ValueSet/EprRole,2.0.10,active,"2.16.756.5.30.1.127.3.10.15.1",EprRole,EprRole,"Role codes as per Annex 5 EPRO-FDHA, version July 2019",,"Internal"
http://fhir.ch/ig/ch-epr-term/ValueSet/HCProfessional.hcProfession,2.0.10,active,"2.16.756.5.30.1.127.3.10.8.1",HCProfessionalHcProfession,HCProfessional.hcProfession,"HCProfessional.hcProfession",,"SCT,Internal"
http://fhir.ch/ig/ch-epr-term/ValueSet/HCProfessional.hcSpecialisation,2.0.10,active,"2.16.756.5.30.1.127.3.10.8.2",HCProfessionalHcSpecialisation,HCProfessional.hcSpecialisation,"HCProfessional.hcSpecialisation",,"Internal"
http://fhir.ch/ig/ch-epr-term/ValueSet/SubmissionSet.Author.AuthorRole,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.41",SubmissionSetAuthorAuthorRole,SubmissionSet.Author.AuthorRole,"SubmissionSet.author.authorRole",,"Internal"
http://fhir.ch/ig/ch-epr-term/ValueSet/SubmissionSet.contentTypeCode,2.0.10,active,"2.16.756.5.30.1.127.3.10.1.40",SubmissionSetContentTypeCode,SubmissionSet.contentTypeCode,"SubmissionSet.contentTypeCode",,"SCT"
