URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-additional-monitoring-indicator,1.0.0-ballot,active,,ChSMCAdditionalMonitoringIndicatorCS,CH SMC - Additional Monitoring Indicator,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Additional Monitoring Indicator",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-attached-document-type,1.0.0-ballot,active,,ChSMCAttachedDocumentTypeCS,CH SMC - Attached Document Type,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Typ des Anhangs)",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-authorisation-category,1.0.0-ballot,active,,ChSMCAuthorisationCategoryCS,CH SMC - Authorisation Category,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Authorisation Category)",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-authorisation-status,1.0.0-ballot,active,,ChSMCAuthorisationStatusCS,CH SMC - Authorisation Status,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Zulassungsstatus)",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-ingredient-role,1.0.0-ballot,active,,ChSMCIngredientRoleCS,CH SMC - Ingredient Role,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Funktion des Inhaltsstoffes)",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-legal-status-of-supply,1.0.0-ballot,active,,ChSMCLegalStatusOfSupplyCS,CH SMC - Legal Status of Supply,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Abgabekategorie)",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-marketing-status,1.0.0-ballot,active,,ChSMCMarketingStatusCS,CH SMC - Marketing Status,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Vermarktungsstatus)",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-pediatric-use-indicator,1.0.0-ballot,active,,ChSMCPediatricUseIndicatorCS,CH SMC - Pediatric Use Indicator,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Pediatric Use Indicator)",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-special-precautions-for-storage,1.0.0-ballot,active,,ChSMCSpecialPrecautionsForStorageCS,CH SMC - Special Precautions for Storage,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Besondere Vorsichtsmassnahmen für die Aufbewahrung)",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-substance,1.0.0-ballot,active,,ChSMCSubstanceCS,CH SMC - Substance,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Substanzen)",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-SMC-therapeuticproductcode,1.0.0-ballot,active,,ChSMCTherapeuticProductcodeCS,CH SMC - TherapeuticProductcode,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets TherapeuticProductcode)",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-authorisation-type,1.0.0-ballot,active,,ChAuthorisationTypeCS,CH - Authorisation Type,"CH EPL - Standard Terms used in Switzerland (aggregations of codes of ValueSets Authorisation Type",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-epl-foph-gamme,1.0.0-ballot,active,,ChEplGammeCS,CH EPL - Gamme,"CH ePL - Code System for the Gamme from ePL used by FOPH",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-epl-foph-limitationstatus,1.0.0-ballot,active,,ChEplLimitationStatusCS,CH EPL - Limitation Status,"CH EPL - Standard Terms used in Switzerland (aggregations of codes of ValueSets Limitierungsstatus",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-epl-foph-listing-status,1.0.0-ballot,active,,ChEplListingStatusCS,CH EPL - Listing Status,"CH ePL - Standard Terms used in Switzerland (aggregations of codes of ValueSets Listungs Status",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-epl-foph-other-characteristics-packaged-item,1.0.0-ballot,active,,ChEplOtherCharacteristicsPackagedItemCS,CH EPL - Other Characteristics Packaged Item,"CH ePL - Standard Terms used in Switzerland (aggregations of codes of ValueSets Other Characteristics of a Packaged Item",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-epl-foph-price-type,1.0.0-ballot,active,,ChEplPriceTypeCS,CH EPL - Price Type,"CH ePL - Standard Terms used in Switzerland (aggregations of codes of ValueSets Price Type",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-epl-foph-product-type,1.0.0-ballot,active,,ChEplProductTypeCS,CH EPL - Product Type,"Code System for the Product Type from ePL used by FOPH",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-epl-foph-reimbursement-status,1.0.0-ballot,active,,ChEplReimbursementStatusCS,CH EPL - Reimbursement Status,"CH ePL - Standard Terms used in Switzerland (aggregations of codes of ValueSets Vergütungs Status",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-epl-foph-type-of-price-change,1.0.0-ballot,active,,ChEplTypeOfPriceChangeCS,CH EPL - Type of Price Change,"CH EPL - Standard Terms used in Switzerland (aggregations of codes of ValueSets TypeofPriceChange",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-medicinal-product-name-type,1.0.0-ballot,active,,ChMedicinalProductNameTypeCS,CH - Medicinal Product Name Type,"CH - Standard Terms used in Switzerland (aggregations of codes of ValueSets Typ des Arzneimittelnamens)",
http://fhir.ch/ig/ch-epl/CodeSystem/ch-other-characteristics-type,1.0.0-ballot,active,,ChOtherCharacteristicsTypeCS,CH - Other Characteristics Type,"CH - Standard Terms to define the different other characteristics",
http://spor.ema.europa.eu/v1/lists/100000000004,1.0.0-ballot,active,,EMADomainCS,EMA - Domain,"CH - Standard Terms used in Switzerland (aggregations of codes of Value Set for the Domain from EMA used by SMC)",
http://spor.ema.europa.eu/v1/lists/100000073343,1.0.0-ballot,active,,EMAShelfLifeTypeCS,EMA - Shelf Life Type,"CH - Standard Terms used in Switzerland (aggregations of codes of Value Set for the Shelf Life Type from EMA used by SMC)",
http://spor.ema.europa.eu/v1/lists/200000003186,1.0.0-ballot,active,,EMAIntendedEffectCS,EMA - Intended Effect,"CH - Standard Terms used in Switzerland (aggregations of codes of Value Set for the Intended Effect from EMA used by SMC)",
http://standardterms.edqm.eu,1.0.0-ballot,active,,EdqmCS,EDQM - Standard Terms,"EDQM - Standard Terms used in Switzerland (see original codes system defined in https://standardterms.edqm.eu/#)",
