URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.ch/ig/ch-epr-fhir/ValueSet/ChPdqmMoreAttriburesRequested,4.0.1-ballot,active,,ChPdqmMoreAttriburesRequested,CH PDQm ValueSet More Attributes Requested,"Coded Values for indicating which additional attributes are requested to lower the results number.",,"Internal"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmActorIdentifierType,4.0.1-ballot,active,,PpqmActorIdentifierType,CH PPQm Actor Identifier Type,"Actor Identifier Types for CH:PPQm",,"Other"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmConsentIdentifierType,4.0.1-ballot,active,,PpqmConsentIdentifierType,CH PPQm Consent Identifier Type,"Value Set for CH:PPQm Consent Identifier Types",,"Internal"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmFeedRequestHttpMethod,4.0.1-ballot,active,,PpqmFeedRequestHttpMethod,CH PPQm Feed Request HTTP Method,"HTTP methods allowed in CH:PPQm Feed requests",,"hl7.fhir.r4.core"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmPolicySetTemplateId,4.0.1-ballot,active,,PpqmPolicySetTemplateId,CH PPQm Policy Set Template ID,"IDs of policy set templates",,"Internal"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmReferencedPolicySetDefaultProvide,4.0.1-ballot,active,,PpqmReferencedPolicySetDefaultProvide,CH PPQm Referenced Policy Set for Default Provide (203) template,"IDs of basis policy sets that may be referenced from template 203",,"Other"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmReferencedPolicySetFullAccess,4.0.1-ballot,active,,PpqmReferencedPolicySetFullAccess,CH PPQm Referenced Policy Set for Patients (201) and Representative (303) templates,"IDs of basis policy sets that may be referenced from templates 201 and 303",,"Other"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmReferencedPolicySetGroupEmergency,4.0.1-ballot,active,,PpqmReferencedPolicySetGroupEmergency,CH PPQm Referenced Policy Set for Emergency Access (202) and HCP Group (302) templates,"IDs of basis policy sets that may be referenced from templates 202 and 302",,"Other"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmReferencedPolicySetHcpWithDelegation,4.0.1-ballot,active,,PpqmReferencedPolicySetHcpWithDelegation,CH PPQm Referenced Policy Set for Healthcare Professionals with Delegation (304) template,"IDs of basis policy sets that may be referenced from template 304",,"Other"
http://fhir.ch/ig/ch-epr-fhir/ValueSet/PpqmReferencedPolicySetHcpWithoutDelegation,4.0.1-ballot,active,,PpqmReferencedPolicySetHcpWithoutDelegation,CH PPQm Referenced Policy Set for Healthcare Professionals without Delegation (301) template,"IDs of basis policy sets that may be referenced from template 301",,"Other"
